Program,Gender,Academic Year,Inquiry Date,Admission Batch,Training Program Funding Source,Admission Date,Start Date,End Date,Admission Status,Lead Source,Coordinator,Grand Total,Lead Stage,Package Amount,Placement Information,Placement Salary Range,Placement Job Title,State,Placement Employer,Placement Remark,Uploaded Documents,Assigned Career center,Enrolled FY,Exited FY,Training Duration Days,Inquiry To Start Days,Completed,Placed
Python full stack web developer with Selenium,Female,2024,2024-07-26,August,WIOA - OH,2024-08-06,2024-08-19,2024-12-09,Training Completed,Don't know,RJ,5992.06,Done with training,5992.06,Yes,"$125,000-$149,999",Software Developer,OH,Pioneer Digital,,Course Completion certificate,Cleveland Career Center,2024,2024,112,24,1,1
Data Science with AWS DevOps,Male,2016,2016-08-24,September,WIOA - MA,2016-09-07,2016-09-19,2016-12-12,Training Completed,Masshire Website,JW,9024.26,Admitted,9024.26,Yes,"$25,000-$49,999",Business Analyst,MA,Evergreen Analytics,,Course Completion certificate,Worcester Career Center,2016,2016,84,26,1,1
Cloud Technologies,Female,2020,2020-03-10,March,VRRAP,2020-03-25,2020-04-06,2020-09-21,Training Completed,VRRAP,AD,5368.29,Admitted,5368.29,Yes,"$100,000-$124,999",Technical Support Specialist,MA,Evergreen Analytics,,Course Completion certificate,Veteran Affairs,2019,2020,168,27,1,1
Automation Quality Assurance,Female,2021,2021-09-18,September,WIOA - MA,2021-09-30,2021-10-04,2021-12-13,Training Completed,Phone call,TP,8614.77,Admitted,8614.77,Yes,"$50,000-$74,999",Data Analyst,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2021,2021,70,16,1,1
Gen AI,Male,2016,2016-10-21,October,WIOA - FL,2016-10-30,2016-11-21,2017-03-13,Training Completed,Career Center Reference - Phone,ML,6556.32,Admitted,6556.32,Yes,"$50,000-$74,999",Data Analyst,FL,Harbor Systems,,Course Completion certificate,Orlando Career Center,2016,2016,112,31,1,1
CompTIA Core,Female,2024,2023-12-05,December,WIOA - MA,2023-12-26,2024-01-01,2024-04-08,Training Completed,Phone Call,ML,6806.58,Done with training,6806.58,Yes,"$125,000-$149,999",Business Analyst,MA,Vertex Consulting,,Course Completion certificate,Medford Career Center,2023,2023,98,27,1,1
Salesforce Admin with Agile,Female,2019,2019-02-21,March,Section 30,2019-03-20,2019-04-15,2019-07-22,Training Completed,Don't know,AM,5544.57,Admitted,5544.57,Yes,"$125,000-$149,999",Data Analyst,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2018,2019,98,53,1,1
Data Analysis With Python and Tableau,Female,2022,2021-12-23,January,WIOA - NY,2022-01-16,2022-02-07,2022-05-16,Dropped Out,Phone call,AM,5762.94,Admitted,5762.94,Yes,"$50,000-$74,999",SQL Developer,NY,Summit Cloud Services,,Course Completion certificate,New York Career Center,2021,2021,98,46,0,1
Gen AI,Female,2024,2024-07-08,July,WIOA - MA,2024-07-21,2024-08-05,2024-11-25,Dropped Out,Vermont JobLink,ML,6556.32,Done with training,6556.32,No,,,MA,,,Course Completion certificate,Boston Career Center,2024,2024,112,28,0,0
Data Analytics with Business Intelligence,Male,2022,2022-06-25,July,WIOA - CT,2022-07-15,2022-08-01,2022-12-19,Training Completed,Career Center Reference - Email,RJ,6884.26,Admitted,6884.26,Yes,"$50,000-$74,999",Technical Support Specialist,CT,Pioneer Digital,,Course Completion certificate,New Haven Career Center,2022,2022,140,37,1,1
Full Stack Web Development with C# . Net ASP.net,Male,2021,2021-02-10,March,WIOA - MD,2021-03-02,2021-03-15,2021-06-07,Dropped Out,Phone call,AD,6315.31,Done with training,6315.31,,,,MD,,,"cert 2,cert 3,Course Completion certificate",Rockville Career Center,2020,2020,84,33,0,0
Web Development with AWS DevOps,Female,2019,2019-11-27,December,WIOA - VA,2019-12-06,2019-12-16,2020-03-09,Training Completed,Phone call,RJ,5924.41,Admitted,5924.41,Yes,"$75,000-$99,999",SQL Developer,VA,Vertex Consulting,,Course Completion certificate,Richmond Career Center,2019,2019,84,19,1,1
CompTIA-Cybersecurity Specialist,Female,2017,2016-12-17,January,VRRAP,2017-01-02,2017-01-16,2017-04-10,Training Completed,VRRAP,ML,6644.76,Did not join,6644.76,Yes,"$75,000-$99,999",Business Analyst,MD,Harbor Systems,,Course Completion certificate,Veteran Affairs,2016,2016,84,30,1,1
AWS and Kubernetes with Certification course,Male,2025,2025-09-26,October,WIOA - MA,2025-10-07,2025-11-03,2026-01-26,Dropped Out,Phone call,CB,6082.28,Admitted,6082.28,Yes,"$100,000-$124,999",Cloud Support Specialist,MA,Summit Cloud Services,,Course Completion certificate,Boston Career Center,2025,2025,84,38,0,1
VA,Female,2022,2022-06-29,July,WIOA - NY,2022-07-09,2022-07-18,2022-10-10,Training Completed,Email,TP,6413.34,Admitted,6413.34,Yes,"$75,000-$99,999",Technical Support Specialist,NY,Northstar Technology,,Course Completion certificate,New York Career Center,2022,2022,84,19,1,1
Web development and Cloud computing with Azure,Female,2022,2022-11-22,December,WIOA - MA,2022-12-03,2022-12-19,2023-04-10,Training Completed,Masshire Website,ML,7681.61,Done with training,7681.61,Yes,"$50,000-$74,999",Business Analyst,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2022,2022,112,27,1,1
Software QA Automation,Male,2021,2020-12-16,January,WIOA - VA,2021-01-09,2021-02-01,2021-05-10,Training Completed,Masshire Website,AD,10176.63,Admitted,10176.63,,,,VA,,,Course Completion certificate,Norfolk Career Center,2020,2020,98,47,1,0
Salesforce Admin and Tableau with Certification,Male,2020,2020-04-10,May,WIOA - MA,2020-05-07,2020-05-18,2020-08-24,Training Completed,Masshire Website,AM,6634.04,Done with training,6634.04,Yes,"$100,000-$124,999",Software Developer,MA,Vertex Consulting,,Course Completion certificate,Medford Career Center,2019,2020,98,38,1,1
"Web, Mobile and Digital Marketing",Female,2017,2016-12-23,December,WIOA - FL,2016-12-31,2017-01-16,2017-04-10,Training Completed,Training,CB,5648.08,Admitted,5648.08,Yes,"$100,000-$124,999",Software Developer,FL,Vertex Consulting,,Course Completion certificate,Miami Career Center,2016,2016,84,24,1,1
Software QA Automation with Cloud Computing,Male,2018,2018-03-20,April,WIOA - MA,2018-04-01,2018-04-16,2018-10-01,Training Completed,Masshire Website,CB,7200.82,Admitted,7200.82,No,,,MA,,,Course Completion certificate,Medford Career Center,2017,2018,168,27,1,0
Mobile Development,Female,2020,2020-10-22,November,WIOA - VT,2020-11-18,2020-12-07,2021-02-01,Training Completed,Career Center Reference - Phone,TP,6337.54,In Training,6337.54,,,,VT,,,Course Completion certificate,Burlington Career Center,2020,2020,56,46,1,0
Data Science with Tableau,Male,2019,2018-12-13,December,WIOA - MA,2018-12-27,2019-01-07,2019-04-29,Training Completed,NSCITE,RJ,6340.49,Admitted,6340.49,,,,MA,,,Course Completion certificate,Boston Career Center,2018,2018,112,25,1,0
AI with Azure,Male,2017,2016-12-15,January,WIOA - MA,2017-01-06,2017-01-16,2017-07-03,Training Completed,Masshire Website,CB,6077.79,Admitted,6077.79,,,,MA,,,Course Completion certificate,Medford Career Center,2016,2017,168,32,1,0
Full Stack Web Development with C# . Net ASP.net,Male,2022,2022-01-10,January,WIOA - NH,2022-01-17,2022-02-07,2022-05-02,Training Completed,Website,AM,6315.31,In Training,6315.31,Yes,"$100,000-$124,999",Data Analyst,NH,Evergreen Analytics,,Course Completion certificate,Manchester Career Center,2021,2021,84,28,1,1
Cloud Programming with Python,Male,2021,2021-03-13,March,WIOA - NH,2021-03-24,2021-04-05,2021-10-18,Training Completed,Career Center Reference - Email,ML,5513.76,Admitted,5513.76,Yes,"$75,000-$99,999",Business Analyst,NH,Summit Cloud Services,,Course Completion certificate,Nashua Career Center,2020,2021,196,23,1,1
Cloud Computing Technologies with Big Data,Male,2020,2020-10-07,October,WIOA - ME,2020-10-20,2020-11-02,2021-01-11,Training Completed,Masshire Website,AD,6967.31,Admitted,6967.31,No,,,ME,,,Course Completion certificate,Portland Career Center,2020,2020,70,26,1,0
Big data with Python,Female,2024,2024-06-08,June,WIOA - MA,2024-06-16,2024-07-01,2024-10-21,Training Completed,Vermont JobLink,JW,6231.63,Admitted,6231.63,Yes,"$75,000-$99,999",QA Tester,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2024,2024,112,23,1,1
Automation Quality Assurance,Female,2022,2022-07-27,August,WIOA - MA,2022-08-20,2022-09-05,2022-11-14,Training Completed,NJ Portal,CB,8614.77,Admitted,8614.77,Yes,"$125,000-$149,999",Data Analyst,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2022,2022,70,40,1,1
AI with Azure,Male,2016,2016-07-09,August,WIOA - VT,2016-08-04,2016-08-15,2017-01-30,Training Completed,Masshire Website,JW,6077.79,Done with training,6077.79,,,,VT,,,Course Completion certificate,Rutland Career Center,2016,2016,168,37,1,0
CompTIA-Security analyst,Male,2024,2024-03-17,March,WIOA - MA,2024-03-30,2024-04-15,2024-07-22,Training Completed,NJ Portal,AM,5294.83,In Training,5294.83,Yes,"$75,000-$99,999",Web Developer,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2023,2024,98,29,1,1
Data Analytics,Female,2021,2021-05-21,June,WIOA - PA,2021-06-11,2021-07-05,2021-12-20,Training Completed,Career Center Reference - Phone,CB,5466.25,Admitted,5466.25,No,,,PA,,,Course Completion certificate,Philadelphia Career Center,2021,2021,168,45,1,0
Python with AI,Male,2021,2021-09-24,October,WIOA - MA,2021-10-17,2021-11-01,2022-01-24,Training Completed,USA Worksource MD,TP,6172.48,Admitted,6172.48,No,,,MA,,,Course Completion certificate,Medford Career Center,2021,2021,84,38,1,0
Python with AI,Male,2025,2025-07-02,July,WIOA - MD,2025-07-16,2025-07-21,2025-10-13,Training Completed,Career Center Reference - Phone,AD,6172.48,Admitted,6172.48,Yes,"$125,000-$149,999",Technical Support Specialist,MD,Pioneer Digital,,Course Completion certificate,Rockville Career Center,2025,2025,84,19,1,1
Salesforce Admin with Digital Marketing,Female,2017,2017-08-11,August,WIOA - VA,2017-08-27,2017-09-18,2017-12-25,Training Completed,PA careerlink,CB,4847.6,Admitted,4847.6,Yes,"$75,000-$99,999",QA Tester,VA,Blue River Solutions,,"Course Certificate,Course Completion certificate",Richmond Career Center,2017,2017,98,38,1,1
Data Science with Programming Tools,Female,2022,2022-07-26,August,WIOA - MA,2022-08-19,2022-09-05,2022-11-14,Training Completed,NJ Portal,ML,4823.81,Admitted,4823.81,No,,,MA,,,Course Completion certificate,Worcester Career Center,2022,2022,70,41,1,0
Cloud Technologies,Female,2019,2019-05-12,June,Vocational Rehab,2019-06-08,2019-06-17,2019-12-02,Training Completed,PA careerlink,AD,5368.29,Admitted,5368.29,Yes,"$75,000-$99,999",Cloud Support Specialist,NH,Evergreen Analytics,,Course Completion certificate,Manchester Career Center,2018,2019,168,36,1,1
Data Analytics,Female,2016,2016-11-16,December,WIOA - VT,2016-12-05,2016-12-19,2017-06-05,Training Completed,Masshire Website,CB,5466.25,Admitted,5466.25,No,,,VT,,,Course Completion certificate,Burlington Career Center,2016,2016,168,33,1,0
Data Science with Reporting Tools,Female,2021,2020-12-05,December,WIOA - VT,2020-12-27,2021-01-04,2021-03-29,Training Completed,Career Center Reference - Email,ML,5490.32,Admitted,5490.32,Yes,"$25,000-$49,999",SQL Developer,VT,Blue River Solutions,,Course Completion certificate,Rutland Career Center,2020,2020,84,30,1,1
Data Visualization (with Laptop),Female,2019,2019-05-17,June,Section 30,2019-06-13,2019-06-17,2019-12-02,Training Completed,USA Worksource MD,CB,5790.39,Admitted,5790.39,,,,MA,,,Course Completion certificate,Worcester Career Center,2018,2019,168,31,1,0
Cloud Computing with C#.NET,Female,2016,2016-07-09,August,WIOA - NY,2016-08-02,2016-08-15,2016-11-07,Dropped Out,SEO,ML,5927.75,Admitted,5927.75,Yes,"$75,000-$99,999",SQL Developer,NY,Harbor Systems,,Course Completion certificate,New York Career Center,2016,2016,84,37,0,1
Cloud Technologies,Female,2021,2021-06-28,July,WIOA - FL,2021-07-16,2021-08-02,2022-01-17,Training Completed,Email,JW,5368.29,Admitted,5368.29,Yes,"$25,000-$49,999",Business Analyst,FL,Evergreen Analytics,,Course Completion certificate,Orlando Career Center,2021,2021,168,35,1,1
Cloud Technologies,Male,2019,2019-08-26,September,WIOA - VT,2019-09-10,2019-09-16,2020-02-03,Dropped Out,Phone call,AD,5763.1,Admitted,5763.1,Yes,"$25,000-$49,999",QA Tester,VT,Northstar Technology,,Course Completion certificate,Rutland Career Center,2019,2019,140,21,0,1
Professional Skills for Digital Workspace,Female,2020,2020-11-23,December,WIOA - NY,2020-12-06,2020-12-21,2021-08-02,Training Completed,NSCITE,TP,5776.56,Admitted,5776.56,,,,NY,,,"cert 2,Course Certificate",Albany Career Center,2020,2021,224,28,1,0
Web development and Cloud computing with Azure,Male,2016,2016-08-16,August,WIOA - MD,2016-08-31,2016-09-05,2016-12-26,Training Completed,Masshire Website,TP,7681.61,Admitted,7681.61,No,,,MD,,,Course Completion certificate,Rockville Career Center,2016,2016,112,20,1,0
Gen AI,Male,2020,2020-07-26,August,WIOA - VT,2020-08-17,2020-09-07,2020-12-28,Training Completed,Email,TP,6556.32,Admitted,6556.32,No,,,VT,,,Course Certificate,Burlington Career Center,2020,2020,112,43,1,0
Salesforce Admin and Developer,Male,2021,2021-04-06,April,WIOA - NH,2021-04-25,2021-05-03,2021-07-26,Training Completed,Don't know,TP,5622.38,Admitted,5622.38,Yes,"$50,000-$74,999",Cloud Support Specialist,NH,Harbor Systems,,Course Completion certificate,Manchester Career Center,2020,2021,84,27,1,1
Cybersecurity,Male,2021,2021-03-21,April,Section 30,2021-04-06,2021-05-03,2021-07-26,Training Completed,Training,TP,5304.53,Done with training,5304.53,Yes,"$50,000-$74,999",Business Analyst,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2020,2021,84,43,1,1
AWS Cloud Technologies,Male,2023,2023-10-03,October,WIOA - MA,2023-10-24,2023-11-20,2024-03-11,Training Completed,Don't know,RJ,5933.47,Admitted,5933.47,No,,,MA,,,Course Completion certificate,Medford Career Center,2023,2023,112,48,1,0
Automation Quality Assurance,Female,2026,2026-07-12,July,Section 30,2026-07-29,2026-08-03,2026-10-12,Training Completed,Phone call,RJ,8614.77,Admitted,8614.77,Yes,"$50,000-$74,999",SQL Developer,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2026,2026,70,22,1,1
"Web, Mobile and Digital Marketing",Male,2016,2016-10-14,November,WIOA - NH,2016-11-02,2016-11-07,2017-01-30,Training Completed,NSCITE,ML,5648.08,Admitted,5648.08,,,,NH,,,Course Completion certificate,Manchester Career Center,2016,2016,84,24,1,0
Data Science with Tableau,Female,2020,2020-07-05,July,WIOA - FL,2020-07-14,2020-08-03,2020-10-26,Training Completed,Phone call,TP,6404.23,Admitted,6404.23,Yes,"$100,000-$124,999",Technical Support Specialist,FL,Summit Cloud Services,,Course Completion certificate,Orlando Career Center,2020,2020,84,29,1,1
Data Science with Tableau,Male,2025,2025-03-02,March,Section 30,2025-03-22,2025-04-07,2025-07-28,Training Completed,Don't know,JW,6340.49,Admitted,6340.49,Yes,"$25,000-$49,999",Business Analyst,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2024,2025,112,36,1,1
Data Analysis With Python and Tableau,Female,2022,2022-10-31,November,WIOA - VA,2022-11-21,2022-12-19,2023-03-27,Dropped Out,NSCITE,ML,5762.94,Interested,5762.94,Yes,"$100,000-$124,999",Business Analyst,VA,Blue River Solutions,,Course Completion certificate,Richmond Career Center,2022,2022,98,49,0,1
Salesforce Admin and Developer,Female,2026,2026-06-14,July,WIOA - MA,2026-07-06,2026-08-03,2026-10-26,Training Completed,Masshire Website,RJ,5622.38,Admitted,5622.38,Yes,"$75,000-$99,999",SQL Developer,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2026,2026,84,50,1,1
Python with AI,Female,2023,2023-09-20,October,WIOA - MA,2023-10-13,2023-11-06,2024-01-29,Training Completed,Phone call,TP,6172.48,Admitted,6172.48,Yes,"$25,000-$49,999",Data Analyst,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2023,2023,84,47,1,1
Data Scientist,Male,2023,2023-10-30,November,WIOA - MA,2023-11-21,2023-12-04,2024-05-20,Training Completed,NJ Portal,JW,6049.18,Admitted,6049.18,Yes,"$25,000-$49,999",Business Analyst,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2023,2023,168,35,1,1
Data Analytics,Female,2017,2017-04-10,April,WIOA - NH,2017-04-25,2017-05-01,2017-10-16,Training Completed,Training,CB,5466.25,Done with training,5466.25,Yes,"$125,000-$149,999",SQL Developer,NH,Northstar Technology,,Course Completion certificate,Nashua Career Center,2016,2017,168,21,1,1
Python Web Development,Female,2019,2019-04-16,May,WIOA - MA,2019-05-12,2019-05-20,2019-08-26,Training Completed,Masshire Website,CB,6476.39,Admitted,6476.39,Yes,"$50,000-$74,999",Data Analyst,MA,Blue River Solutions,,Course Completion certificate,Worcester Career Center,2018,2019,98,34,1,1
Data Scientist,Female,2022,2022-05-30,June,WIOA - MA,2022-06-17,2022-06-20,2022-12-05,Training Completed,Don't know,AM,6049.18,Admitted,6049.18,,,,MA,,,Course Completion certificate,Medford Career Center,2021,2022,168,21,1,0
AWS Solution and DevOps,Female,2021,2021-10-15,November,WIOA - NY,2021-11-06,2021-11-15,2022-02-21,Training Completed,Phone call,RJ,6336.24,Admitted,6336.24,Yes,"$25,000-$49,999",Software Developer,NY,Vertex Consulting,,Course Completion certificate,New York Career Center,2021,2021,98,31,1,1
OLD Student,Male,2024,2024-03-20,March,WIOA - NH,2024-03-31,2024-04-15,2024-09-02,Training Completed,Pearson Inquiry,RJ,6330.29,Admitted,6330.29,No,,,NH,,,Course Completion certificate,Manchester Career Center,2023,2024,140,26,1,0
Salesforce Admin and Developer,Male,2026,2026-07-21,August,WIOA - NH,2026-08-13,2026-08-17,2026-11-09,Did not join,Career Center Reference - Phone,JW,5622.38,Admitted,5622.38,Yes,"$50,000-$74,999",Technical Support Specialist,NH,Pioneer Digital,,Course Completion certificate,Nashua Career Center,2026,2026,84,27,0,1
Data Analytics with Automation QA,Female,2018,2018-08-06,August,WIOA - MA,2018-08-26,2018-09-03,2018-11-26,Training Completed,Phone call,RJ,5511.27,Admitted,5511.27,,,,MA,,,Course Completion certificate,Boston Career Center,2018,2018,84,28,1,0
Salesforce Admin and Developer,Female,2020,2020-11-02,November,WIOA - MA,2020-11-17,2020-12-07,2021-03-01,Training Completed,Training,RJ,5622.38,Admitted,5622.38,No,,,MA,,,Course Completion certificate,Worcester Career Center,2020,2020,84,35,1,0
Data Analysis With Python and Tableau,Female,2025,2025-04-09,April,MRC,2025-04-22,2025-05-05,2025-08-11,Training Completed,Career Center Reference - Email,CB,5762.94,Done with training,5762.94,No,,,MA,,,Course Completion certificate,Worcester Career Center,2024,2025,98,26,1,0
Data Science with Tableau and AWS,Female,2025,2024-12-24,January,Section 30,2025-01-14,2025-01-20,2025-06-09,Training Completed,Career Center Reference - Email,AD,6330.99,Admitted,6330.99,,,,MA,,,"Course Completion certificate,Partner Release of Information,Registration form,Resume",Boston Career Center,2024,2024,140,27,1,0
